INFO 2020-08-02 13:42:19,882 basehttp 154 "GET /static/js/common.js%20 HTTP/1.1" 200 891
INFO 2020-08-02 13:42:19,883 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 4277
INFO 2020-08-02 13:42:19,884 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-02 13:42:19,884 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-02 13:42:19,886 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-08-02 13:42:19,895 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-02 13:42:19,912 basehttp 154 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
INFO 2020-08-02 13:42:19,913 basehttp 154 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-08-02 13:42:19,914 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
WARNING 2020-08-02 13:42:19,952 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
WARNING 2020-08-02 13:42:20,002 log 222 Not Found: /users/register/image_code/6ef4ca2e-854a-405c-886f-47820bcfdedf/
WARNING 2020-08-02 13:42:20,003 basehttp 154 "GET /users/register/image_code/6ef4ca2e-854a-405c-886f-47820bcfdedf/ HTTP/1.1" 404 2792
WARNING 2020-08-02 13:42:23,559 log 222 Not Found: /users/register/image_code/1891a29a-9422-4084-ad35-2badc1b26617/
WARNING 2020-08-02 13:42:23,560 basehttp 154 "GET /users/register/image_code/1891a29a-9422-4084-ad35-2badc1b26617/ HTTP/1.1" 404 2792
WARNING 2020-08-02 13:42:24,318 log 222 Not Found: /users/register/image_code/0ca907f2-1d23-4c8c-961b-114a53254055/
WARNING 2020-08-02 13:42:24,318 basehttp 154 "GET /users/register/image_code/0ca907f2-1d23-4c8c-961b-114a53254055/ HTTP/1.1" 404 2792
WARNING 2020-08-02 13:42:56,690 log 222 Not Found: /users/register/users/mobile//count/
WARNING 2020-08-02 13:42:56,690 basehttp 154 "GET /users/register/users/mobile//count/ HTTP/1.1" 404 2708
WARNING 2020-08-02 13:42:58,688 log 222 Not Found: /users/register/image_code/5433f231-34c8-49dc-8d2a-d23817598c29/
WARNING 2020-08-02 13:42:58,688 basehttp 154 "GET /users/register/image_code/5433f231-34c8-49dc-8d2a-d23817598c29/ HTTP/1.1" 404 2792
WARNING 2020-08-02 13:42:58,940 log 222 Not Found: /users/register/image_code/068de95c-4b34-4324-a520-38e75452752b/
WARNING 2020-08-02 13:42:58,941 basehttp 154 "GET /users/register/image_code/068de95c-4b34-4324-a520-38e75452752b/ HTTP/1.1" 404 2792
WARNING 2020-08-02 13:42:59,176 log 222 Not Found: /users/register/image_code/8edf19d3-bb74-4739-9fca-d291d8e6b16f/
WARNING 2020-08-02 13:42:59,177 basehttp 154 "GET /users/register/image_code/8edf19d3-bb74-4739-9fca-d291d8e6b16f/ HTTP/1.1" 404 2792
WARNING 2020-08-02 13:42:59,417 log 222 Not Found: /users/register/image_code/69fca214-d0f0-4db8-a710-2dfb68a8a772/
WARNING 2020-08-02 13:42:59,418 basehttp 154 "GET /users/register/image_code/69fca214-d0f0-4db8-a710-2dfb68a8a772/ HTTP/1.1" 404 2792
WARNING 2020-08-02 13:42:59,619 log 222 Not Found: /users/register/image_code/589fae2e-f005-44e9-a9e6-c8c52ce4014a/
WARNING 2020-08-02 13:42:59,620 basehttp 154 "GET /users/register/image_code/589fae2e-f005-44e9-a9e6-c8c52ce4014a/ HTTP/1.1" 404 2792
WARNING 2020-08-02 13:43:00,079 log 222 Not Found: /users/register/image_code/bdb0e1c5-07c5-4bc8-8a39-1dc50cadf60d/
WARNING 2020-08-02 13:43:00,080 basehttp 154 "GET /users/register/image_code/bdb0e1c5-07c5-4bc8-8a39-1dc50cadf60d/ HTTP/1.1" 404 2792
INFO 2020-08-02 13:46:06,931 autoreload 578 Watching for file changes with StatReloader
INFO 2020-08-02 13:46:08,188 basehttp 154 "GET /users/register/ HTTP/1.1" 200 3540
INFO 2020-08-02 13:46:08,229 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-08-02 13:46:08,231 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-08-02 13:46:08,234 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-08-02 13:46:08,235 basehttp 154 "GET /static/js/common.js%20 HTTP/1.1" 200 891
INFO 2020-08-02 13:46:08,237 basehttp 154 "GET /static/js/register.js HTTP/1.1" 200 4278
INFO 2020-08-02 13:46:08,239 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-08-02 13:46:08,241 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
INFO 2020-08-02 13:46:08,257 basehttp 154 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
